Time	Wx	Wy	Wz	Temperature
6.315	-0.061	-0.061	0.061	29.062
6.325	0.000	-0.061	-0.122	29.045
6.336	0.000	-0.061	0.000	29.042
6.346	0.000	0.000	0.122	29.051
6.356	0.000	0.000	0.061	29.042
6.366	0.000	0.000	0.000	29.045
6.376	0.000	0.000	0.000	29.045
6.386	0.000	0.000	-0.061	29.051
6.396	0.000	-0.061	-0.061	29.051
6.406	0.000	-0.061	-0.061	29.051
6.416	-0.061	0.000	0.061	29.042
6.427	-0.061	0.000	0.061	29.054
6.436	-0.061	0.000	0.000	29.045
6.446	0.061	-0.061	0.061	29.030
6.456	0.000	-0.061	0.061	29.045
6.466	0.000	-0.061	0.000	29.048
6.476	0.000	-0.061	-0.061	29.048
6.486	0.000	-0.061	0.000	29.048
6.497	0.000	0.000	0.061	29.048
6.507	0.000	0.000	0.122	29.048
6.517	0.000	0.000	0.122	29.042
6.526	-0.061	0.000	-0.061	29.039
6.537	0.061	-0.061	-0.183	29.045
6.547	0.000	0.000	0.122	29.042
6.557	0.000	0.000	0.183	29.054
6.567	0.000	-0.061	0.000	29.042
6.577	0.000	-0.061	-0.061	29.033
6.586	0.000	0.000	-0.061	29.030
6.597	0.000	-0.061	-0.061	29.033
6.607	0.000	0.000	0.061	29.045
6.617	0.000	0.000	0.122	29.048
6.627	0.000	0.000	0.000	29.056
6.637	0.000	0.000	-0.122	29.054
