Time	Dx	Dy	Dz	Temperature
5.131	38.320	-62.485	-1.390	29.033
5.141	38.320	-62.485	-1.390	29.036
5.151	38.315	-62.485	-1.390	29.036
5.161	38.320	-62.485	-1.390	29.045
5.171	38.320	-62.485	-1.390	29.056
5.182	38.320	-62.485	-1.390	29.045
5.191	38.326	-62.485	-1.390	29.039
5.201	38.326	-62.485	-1.390	29.039
5.212	38.331	-62.485	-1.390	29.062
5.221	38.331	-62.485	-1.390	29.059
5.232	38.326	-62.485	-1.390	29.048
5.242	38.326	-62.490	-1.390	29.051
5.251	38.326	-62.485	-1.390	29.042
5.262	38.326	-62.490	-1.390	29.030
5.272	38.326	-62.490	-1.390	29.033
5.282	38.320	-62.490	-1.390	29.027
5.293	38.320	-62.490	-1.390	29.042
5.305	38.326	-62.490	-1.390	29.036
5.314	38.326	-62.485	-1.390	29.042
5.324	38.326	-62.485	-1.390	29.039
5.333	38.326	-62.485	-1.390	29.039
5.344	38.320	-62.485	-1.390	29.051
5.354	38.315	-62.485	-1.390	29.042
5.364	38.315	-62.485	-1.390	29.039
5.374	38.315	-62.485	-1.390	29.042
5.384	38.315	-62.485	-1.390	29.045
5.394	38.315	-62.485	-1.390	29.059
5.404	38.315	-62.485	-1.390	29.051
5.414	38.315	-62.485	-1.390	29.048
5.424	38.315	-62.485	-1.390	29.048
5.434	38.315	-62.485	-1.390	29.048
5.444	38.315	-62.479	-1.390	29.033
5.454	38.315	-62.479	-1.390	29.036
5.464	38.315	-62.479	-1.390	29.039
5.474	38.315	-62.479	-1.390	29.045
5.484	38.315	-62.479	-1.390	29.030
5.495	38.315	-62.479	-1.390	29.024
5.504	38.315	-62.479	-1.390	29.045
5.514	38.315	-62.479	-1.390	29.045
5.524	38.315	-62.479	-1.390	29.048
5.534	38.309	-62.479	-1.390	29.056
5.545	38.315	-62.479	-1.390	29.059
5.554	38.309	-62.479	-1.390	29.048
5.563	38.304	-62.479	-1.390	29.036
5.574	38.304	-62.479	-1.390	29.036
5.584	38.298	-62.479	-1.390	29.048
5.593	38.298	-62.479	-1.390	29.062
5.603	38.298	-62.479	-1.390	29.059
5.613	38.298	-62.479	-1.390	29.059
5.624	38.298	-62.479	-1.390	29.056
5.633	38.298	-62.479	-1.390	29.045
5.643	38.293	-62.479	-1.390	29.045
5.654	38.293	-62.479	-1.390	29.045
5.663	38.293	-62.479	-1.390	29.039
5.674	38.293	-62.479	-1.390	29.039
5.684	38.293	-62.479	-1.390	29.042
5.693	38.293	-62.479	-1.390	29.045
5.703	38.287	-62.479	-1.390	29.048
5.713	38.293	-62.479	-1.390	29.045
5.724	38.293	-62.479	-1.390	29.042
5.734	38.287	-62.479	-1.390	29.039
5.744	38.287	-62.479	-1.390	29.033
5.754	38.287	-62.479	-1.390	29.039
5.764	38.293	-62.485	-1.390	29.048
5.774	38.293	-62.485	-1.390	29.039
5.784	38.298	-62.485	-1.390	29.036
5.793	38.298	-62.485	-1.390	29.015
5.805	38.304	-62.485	-1.390	29.021
5.814	38.304	-62.485	-1.390	29.036
5.824	38.304	-62.485	-1.390	29.045
5.834	38.304	-62.485	-1.390	29.039
5.844	38.304	-62.485	-1.390	29.033
5.854	38.304	-62.485	-1.390	29.045
5.864	38.304	-62.485	-1.390	29.054
5.874	38.304	-62.485	-1.390	29.039
5.885	38.304	-62.485	-1.390	29.039
5.895	38.304	-62.485	-1.390	29.042
5.905	38.304	-62.485	-1.390	29.042
5.915	38.309	-62.485	-1.390	29.048
5.924	38.309	-62.485	-1.390	29.045
5.934	38.309	-62.485	-1.390	29.045
5.944	38.309	-62.485	-1.390	29.033
5.954	38.309	-62.485	-1.390	29.030
5.965	38.309	-62.485	-1.390	29.033
5.975	38.304	-62.485	-1.390	29.036
5.985	38.304	-62.479	-1.390	29.042
5.995	38.304	-62.479	-1.390	29.048
6.005	38.304	-62.479	-1.390	29.051
6.015	38.298	-62.479	-1.390	29.048
6.025	38.298	-62.479	-1.390	29.039
6.035	38.298	-62.479	-1.390	29.045
6.045	38.298	-62.479	-1.390	29.036
6.055	38.298	-62.479	-1.390	29.039
6.064	38.298	-62.479	-1.390	29.048
6.075	38.298	-62.479	-1.390	29.045
6.085	38.298	-62.479	-1.390	29.030
